65: max: 0.75, min: 0.464, mean: 0.626, stdev: 0.045, maxDiff: 16, medDiff: 9
66: max: 0.75, min: 0.464, mean: 0.629, stdev: 0.05, maxDiff: 16, medDiff: 11
67: max: 0.75, min: 0.5, mean: 0.634, stdev: 0.051, maxDiff: 14, medDiff: 12
68: max: 0.75, min: 0.5, mean: 0.634, stdev: 0.048, maxDiff: 14, medDiff: 9
69: max: 0.75, min: 0.5, mean: 0.636, stdev: 0.044, maxDiff: 13, medDiff: 8
70: max: 0.75, min: 0.5, mean: 0.632, stdev: 0.048, maxDiff: 11, medDiff: 8
71: max: 0.75, min: 0.5, mean: 0.647, stdev: 0.05, maxDiff: 13, medDiff: 9
72: max: 0.75, min: 0.536, mean: 0.651, stdev: 0.048, maxDiff: 16, medDiff: 11
73: max: 0.75, min: 0.5, mean: 0.656, stdev: 0.051, maxDiff: 10, medDiff: 10
74: max: 0.75, min: 0.464, mean: 0.652, stdev: 0.05, maxDiff: 9, medDiff: 7
75: max: 0.75, min: 0.536, mean: 0.662, stdev: 0.043, maxDiff: 11, medDiff: 8
76: max: 0.75, min: 0.536, mean: 0.664, stdev: 0.04, maxDiff: 10, medDiff: 7
77: max: 0.75, min: 0.607, mean: 0.666, stdev: 0.037, maxDiff: 8, medDiff: 9
78: max: 0.786, min: 0.536, mean: 0.667, stdev: 0.05, maxDiff: 14, medDiff: 10
79: max: 0.786, min: 0.5, mean: 0.664, stdev: 0.051, maxDiff: 15, medDiff: 8
80: max: 0.786, min: 0.536, mean: 0.663, stdev: 0.05, maxDiff: 14, medDiff: 9
81: max: 0.75, min: 0.571, mean: 0.665, stdev: 0.047, maxDiff: 13, medDiff: 12
82: max: 0.786, min: 0.536, mean: 0.665, stdev: 0.047, maxDiff: 14, medDiff: 8
83: max: 0.786, min: 0.571, mean: 0.672, stdev: 0.048, maxDiff: 13, medDiff: 7
84: max: 0.75, min: 0.571, mean: 0.684, stdev: 0.04, maxDiff: 12, medDiff: 10
85: max: 0.821, min: 0.571, mean: 0.678, stdev: 0.043, maxDiff: 11, medDiff: 6
86: max: 0.786, min: 0.571, mean: 0.671, stdev: 0.049, maxDiff: 12, medDiff: 11
87: max: 0.821, min: 0.5, mean: 0.686, stdev: 0.056, maxDiff: 14, medDiff: 8
88: max: 0.821, min: 0.571, mean: 0.691, stdev: 0.053, maxDiff: 12, medDiff: 8
89: max: 0.786, min: 0.536, mean: 0.704, stdev: 0.044, maxDiff: 14, medDiff: 9
90: max: 0.821, min: 0.571, mean: 0.711, stdev: 0.045, maxDiff: 11, medDiff: 6
91: max: 0.786, min: 0.607, mean: 0.711, stdev: 0.048, maxDiff: 11, medDiff: 11
92: max: 0.857, min: 0.571, mean: 0.721, stdev: 0.061, maxDiff: 10, medDiff: 6
93: max: 0.857, min: 0.607, mean: 0.734, stdev: 0.047, maxDiff: 8, medDiff: 6
94: max: 0.821, min: 0.607, mean: 0.737, stdev: 0.044, maxDiff: 10, medDiff: 5
95: max: 0.821, min: 0.607, mean: 0.728, stdev: 0.046, maxDiff: 11, medDiff: 10
96: max: 0.821, min: 0.571, mean: 0.726, stdev: 0.051, maxDiff: 10, medDiff: 7
97: max: 0.821, min: 0.607, mean: 0.734, stdev: 0.05, maxDiff: 10, medDiff: 7
98: max: 0.857, min: 0.607, mean: 0.74, stdev: 0.051, maxDiff: 9, medDiff: 7
99: max: 0.857, min: 0.571, mean: 0.74, stdev: 0.052, maxDiff: 11, medDiff: 4
100: max: 0.821, min: 0.607, mean: 0.738, stdev: 0.051, maxDiff: 12, medDiff: 9
101: max: 0.821, min: 0.571, mean: 0.744, stdev: 0.047, maxDiff: 13, medDiff: 8
102: max: 0.821, min: 0.571, mean: 0.739, stdev: 0.052, maxDiff: 10, medDiff: 8
103: max: 0.857, min: 0.571, mean: 0.744, stdev: 0.055, maxDiff: 13, medDiff: 6
104: max: 0.857, min: 0.607, mean: 0.748, stdev: 0.055, maxDiff: 11, medDiff: 7
105: max: 0.893, min: 0.607, mean: 0.749, stdev: 0.05, maxDiff: 10, medDiff: 7
106: max: 0.893, min: 0.571, mean: 0.74, stdev: 0.056, maxDiff: 13, medDiff: 8
107: max: 0.857, min: 0.607, mean: 0.745, stdev: 0.042, maxDiff: 12, medDiff: 8
108: max: 0.821, min: 0.607, mean: 0.741, stdev: 0.044, maxDiff: 11, medDiff: 7
109: max: 0.821, min: 0.607, mean: 0.738, stdev: 0.049, maxDiff: 11, medDiff: 8
110: max: 0.821, min: 0.643, mean: 0.742, stdev: 0.047, maxDiff: 12, medDiff: 9
111: max: 0.857, min: 0.643, mean: 0.732, stdev: 0.05, maxDiff: 11, medDiff: 6
112: max: 0.857, min: 0.607, mean: 0.734, stdev: 0.052, maxDiff: 11, medDiff: 7
113: max: 0.857, min: 0.643, mean: 0.743, stdev: 0.051, maxDiff: 9, medDiff: 7
114: max: 0.857, min: 0.607, mean: 0.748, stdev: 0.055, maxDiff: 12, medDiff: 8
115: max: 0.893, min: 0.643, mean: 0.766, stdev: 0.049, maxDiff: 10, medDiff: 6
116: max: 0.857, min: 0.643, mean: 0.769, stdev: 0.046, maxDiff: 11, medDiff: 7
117: max: 0.857, min: 0.571, mean: 0.76, stdev: 0.054, maxDiff: 13, medDiff: 7
118: max: 0.893, min: 0.643, mean: 0.769, stdev: 0.049, maxDiff: 11, medDiff: 6
119: max: 0.857, min: 0.643, mean: 0.767, stdev: 0.044, maxDiff: 10, medDiff: 6
120: max: 0.857, min: 0.643, mean: 0.761, stdev: 0.046, maxDiff: 10, medDiff: 8
121: max: 0.857, min: 0.643, mean: 0.762, stdev: 0.044, maxDiff: 11, medDiff: 7
122: max: 0.893, min: 0.607, mean: 0.753, stdev: 0.051, maxDiff: 11, medDiff: 6
123: max: 0.893, min: 0.643, mean: 0.749, stdev: 0.046, maxDiff: 10, medDiff: 8
124: max: 0.857, min: 0.571, mean: 0.744, stdev: 0.058, maxDiff: 14, medDiff: 10
125: max: 0.857, min: 0.536, mean: 0.759, stdev: 0.05, maxDiff: 15, medDiff: 10
126: max: 0.893, min: 0.643, mean: 0.759, stdev: 0.056, maxDiff: 11, medDiff: 8
127: max: 0.893, min: 0.607, mean: 0.76, stdev: 0.058, maxDiff: 10, medDiff: 7
128: max: 0.893, min: 0.607, mean: 0.765, stdev: 0.055, maxDiff: 11, medDiff: 8
129: max: 0.929, min: 0.643, mean: 0.768, stdev: 0.063, maxDiff: 10, medDiff: 5
130: max: 0.893, min: 0.643, mean: 0.781, stdev: 0.054, maxDiff: 10, medDiff: 7
131: max: 0.893, min: 0.643, mean: 0.788, stdev: 0.048, maxDiff: 10, medDiff: 8
